survey_no,route_no,survey.starting,Date,Year,Month,time_point,total_count,CNR
101,9,2016-05-19T05:30:00Z,19/5/2016,2016,5,5,111,1
102,6,2016-05-20T05:30:00Z,20/5/2016,2016,5,5,132,1
103,10,2016-05-21T05:29:00Z,21/5/2016,2016,5,5,223,0
104,3,2016-05-21T05:30:00Z,21/5/2016,2016,5,5,125,1
105,6,2016-05-21T05:30:00Z,21/5/2016,2016,5,5,171,1
106,9,2016-07-01T05:29:00Z,1/7/2016,2016,7,,93,1
107,1,2016-10-31T07:04:00Z,31/10/2016,2016,11,6,115,1
108,1,2016-11-01T07:04:00Z,1/11/2016,2016,11,6,110,1
109,2,2016-11-04T06:17:00Z,4/11/2016,2016,11,6,111,1
110,2,2016-11-05T06:18:00Z,5/11/2016,2016,11,6,131,1
111,3,2016-11-03T06:39:00Z,3/11/2016,2016,11,6,129,1
112,3,2016-11-04T06:39:00Z,4/11/2016,2016,11,6,143,1
113,4,2016-11-05T06:19:00Z,5/11/2016,2016,11,6,168,0
114,4,2016-11-06T06:19:00Z,6/11/2016,2016,11,6,176,0
115,5,2016-11-02T07:48:00Z,2/11/2016,2016,11,6,120,1
116,5,2016-11-03T07:48:00Z,3/11/2016,2016,11,6,126,1
118,7,2016-11-05T06:37:00Z,5/11/2016,2016,11,6,144,0
119,7,2016-11-06T06:37:00Z,6/11/2016,2016,11,6,180,0
121,8,2016-11-02T06:58:00Z,2/11/2016,2016,11,6,113,1
122,9,2016-11-01T06:47:00Z,1/11/2016,2016,11,6,132,1
123,9,2016-11-02T06:46:00Z,2/11/2016,2016,11,6,132,1
124,10,2016-11-03T06:34:00Z,3/11/2016,2016,11,6,147,0
125,10,2016-11-04T06:34:00Z,4/11/2016,2016,11,6,159,0
126,6,2016-11-08T06:24:00Z,8/11/2016,2016,11,6,237,1
127,6,2016-11-07T06:24:00Z,7/11/2016,2016,11,6,184,1
128,6,2016-11-09T06:25:00Z,9/11/2016,2016,11,6,234,1
129,7,2016-11-10T06:37:00Z,10/11/2016,2016,11,6,212,0
130,7,2016-11-12T06:38:00Z,12/11/2016,2016,11,6,216,0
132,1,2017-11-04T06:59:00Z,4/11/2017,2017,11,8,131,1
135,2,2017-11-10T06:15:00Z,10/11/2017,2017,11,8,88,1
136,3,2017-11-08T06:40:00Z,8/11/2017,2017,11,8,181,1
137,3,2017-11-09T06:40:00Z,9/11/2017,2017,11,8,175,1
138,4,2017-11-06T06:20:00Z,6/11/2017,2017,11,8,159,0
139,4,2017-11-07T06:20:00Z,7/11/2017,2017,11,8,143,0
140,5,2017-11-08T07:45:00Z,8/11/2017,2017,11,8,145,1
141,5,2017-11-09T07:45:00Z,9/11/2017,2017,11,8,122,1
143,10,2017-11-08T06:35:00Z,8/11/2017,2017,11,8,132,0
144,10,2017-11-09T06:35:00Z,9/11/2017,2017,11,8,143,0
145,7,2017-11-06T06:29:00Z,6/11/2017,2017,11,8,257,0
146,7,2017-11-07T06:29:00Z,7/11/2017,2017,11,8,267,0
151,9,2017-11-06T06:45:00Z,6/11/2017,2017,11,8,153,1
152,9,2017-11-07T06:45:00Z,7/11/2017,2017,11,8,138,1
153,8,2017-11-04T06:56:00Z,4/11/2017,2017,11,8,124,1
154,8,2017-11-05T06:55:00Z,5/11/2017,2017,11,8,114,1
155,2,2017-11-11T06:16:00Z,11/11/2017,2017,11,8,93,1
156,5,2017-11-12T07:43:00Z,12/11/2017,2017,11,8,154,1
158,6,2017-11-11T06:25:00Z,11/11/2017,2017,11,8,210,1
159,1,2017-11-10T06:59:00Z,10/11/2017,2017,11,8,136,1
164,6,2017-11-10T06:25:00Z,10/11/2017,2017,11,8,187,1
165,6,2017-11-12T06:25:00Z,12/11/2017,2017,11,8,248,1
166,1,2018-12-15T06:59:00Z,15/12/2018,2018,11,10,123,1
167,1,2018-12-16T06:59:00Z,16/12/2018,2018,11,10,133,1
168,8,2018-12-15T06:45:00Z,15/12/2018,2018,11,10,165,1
169,8,2018-12-16T06:45:00Z,16/12/2018,2018,11,10,159,1
171,9,2018-12-16T06:45:00Z,16/12/2018,2018,11,10,147,1
172,2,2018-12-19T06:15:00Z,19/12/2018,2018,11,10,90,1
173,2,2018-12-20T06:15:00Z,20/12/2018,2018,11,10,109,1
174,10,2018-12-19T06:35:00Z,19/12/2018,2018,11,10,165,0
175,10,2018-12-20T06:35:00Z,20/12/2018,2018,11,10,215,0
176,6,2018-12-19T06:25:00Z,19/12/2018,2018,11,10,206,1
177,6,2018-12-20T06:35:00Z,20/12/2018,2018,11,10,171,1
178,2,2018-12-21T06:15:00Z,21/12/2018,2018,11,10,99,1
179,6,2018-12-21T06:25:00Z,21/12/2018,2018,11,10,214,1
180,10,2018-12-21T06:35:00Z,21/12/2018,2018,11,10,218,0
182,5,2018-12-21T07:48:00Z,21/12/2018,2018,11,10,129,1
183,5,2018-12-22T07:25:00Z,22/12/2018,2018,11,10,125,1
184,7,2018-12-22T06:35:00Z,22/12/2018,2018,11,10,229,0
185,7,2018-12-23T06:35:00Z,23/12/2018,2018,11,10,223,0
186,3,2018-12-22T06:40:00Z,22/12/2018,2018,11,10,141,1
187,3,2018-12-23T06:40:00Z,23/12/2018,2018,11,10,165,1
188,4,2018-12-22T06:20:00Z,22/12/2018,2018,11,10,207,0
189,4,2018-12-23T06:20:00Z,23/12/2018,2018,11,10,212,0
190,9,2018-12-24T06:45:00Z,24/12/2018,2018,11,10,106,1
191,9,2018-12-25T06:45:00Z,25/12/2018,2018,11,10,159,1
