survey_no,routeID,route_no,survey.starting,Date,Year,Month,time_point,total_count,CNR,Lat,Lon,CNR_c,time_point_c,Month_c,Lat_c,Lon_c
168,Golmuri,8,2018-12-15T06:45:00Z,2018-12-15,2018,11,10,165,1,22.796953,86.216913,0.298780487804878,4.71165644171779,1.92682926829268,-0.00284299390244058,0.00760979878049284
169,Golmuri,8,2018-12-16T06:45:00Z,2018-12-16,2018,11,10,159,1,22.796953,86.216913,0.298780487804878,4.71165644171779,1.92682926829268,-0.00284299390244058,0.00760979878049284
170,Baridih,9,2018-12-15T06:45:00Z,2018-12-15,2018,11,10,1,1,22.805245,86.251201,0.298780487804878,4.71165644171779,1.92682926829268,0.00544900609756027,0.0418977987804823
171,Baridih,9,2018-12-16T06:45:00Z,2018-12-16,2018,11,10,147,1,22.805245,86.251201,0.298780487804878,4.71165644171779,1.92682926829268,0.00544900609756027,0.0418977987804823
172,Bistupur,2,2018-12-19T06:15:00Z,2018-12-19,2018,11,10,90,1,22.791121,86.179624,0.298780487804878,4.71165644171779,1.92682926829268,-0.00867499390243864,-0.0296792012195084
173,Bistupur,2,2018-12-20T06:15:00Z,2018-12-20,2018,11,10,109,1,22.791121,86.179624,0.298780487804878,4.71165644171779,1.92682926829268,-0.00867499390243864,-0.0296792012195084
174,Adityapur,10,2018-12-19T06:35:00Z,2018-12-19,2018,11,10,165,0,22.78303,86.151335,-0.701219512195122,4.71165644171779,1.92682926829268,-0.0167659939024389,-0.0579682012195093
175,Adityapur,10,2018-12-20T06:35:00Z,2018-12-20,2018,11,10,215,0,22.78303,86.151335,-0.701219512195122,4.71165644171779,1.92682926829268,-0.0167659939024389,-0.0579682012195093
176,Jugsalai,6,2018-12-19T06:25:00Z,2018-12-19,2018,11,10,206,1,22.763927,86.18805,0.298780487804878,4.71165644171779,1.92682926829268,-0.0358689939024401,-0.0212532012195084
177,Jugsalai,6,2018-12-20T06:35:00Z,2018-12-20,2018,11,10,171,1,22.763927,86.18805,0.298780487804878,4.71165644171779,1.92682926829268,-0.0358689939024401,-0.0212532012195084
178,Bistupur,2,2018-12-21T06:15:00Z,2018-12-21,2018,11,10,99,1,22.791121,86.179624,0.298780487804878,4.71165644171779,1.92682926829268,-0.00867499390243864,-0.0296792012195084
179,Jugsalai,6,2018-12-21T06:25:00Z,2018-12-21,2018,11,10,214,1,22.763927,86.18805,0.298780487804878,4.71165644171779,1.92682926829268,-0.0358689939024401,-0.0212532012195084
180,Adityapur,10,2018-12-21T06:35:00Z,2018-12-21,2018,11,10,218,0,22.78303,86.151335,-0.701219512195122,4.71165644171779,1.92682926829268,-0.0167659939024389,-0.0579682012195093
182,Telco,5,2018-12-21T07:48:00Z,2018-12-21,2018,11,10,129,1,22.781598,86.232524,0.298780487804878,4.71165644171779,1.92682926829268,-0.0181979939024401,0.0232207987804856
183,Telco,5,2018-12-22T07:25:00Z,2018-12-22,2018,11,10,125,1,22.781598,86.232524,0.298780487804878,4.71165644171779,1.92682926829268,-0.0181979939024401,0.0232207987804856
184,Mango I,7,2018-12-22T06:35:00Z,2018-12-22,2018,11,10,229,0,22.830661,86.230961,-0.701219512195122,4.71165644171779,1.92682926829268,0.0308650060975602,0.0216577987804811
185,Mango I,7,2018-12-23T06:35:00Z,2018-12-23,2018,11,10,223,0,22.830661,86.230961,-0.701219512195122,4.71165644171779,1.92682926829268,0.0308650060975602,0.0216577987804811
186,Sonari,3,2018-12-22T06:40:00Z,2018-12-22,2018,11,10,141,1,22.819303,86.173785,0.298780487804878,4.71165644171779,1.92682926829268,0.0195070060975624,-0.0355182012195172
187,Sonari,3,2018-12-23T06:40:00Z,2018-12-23,2018,11,10,165,1,22.819303,86.173785,0.298780487804878,4.71165644171779,1.92682926829268,0.0195070060975624,-0.0355182012195172
188,Mango II,4,2018-12-22T06:20:00Z,2018-12-22,2018,11,10,207,0,22.830661,86.230961,-0.701219512195122,4.71165644171779,1.92682926829268,0.0308650060975602,0.0216577987804811
189,Mango II,4,2018-12-23T06:20:00Z,2018-12-23,2018,11,10,212,0,22.830661,86.230961,-0.701219512195122,4.71165644171779,1.92682926829268,0.0308650060975602,0.0216577987804811
190,Baridih,9,2018-12-24T06:45:00Z,2018-12-24,2018,11,10,106,1,22.805245,86.251201,0.298780487804878,4.71165644171779,1.92682926829268,0.00544900609756027,0.0418977987804823
191,Baridih,9,2018-12-25T06:45:00Z,2018-12-25,2018,11,10,159,1,22.805245,86.251201,0.298780487804878,4.71165644171779,1.92682926829268,0.00544900609756027,0.0418977987804823
