date_in,Female,Adult,distemper,mange,rabies,venereal_cancer,Pregnant,time_trend,Female_c,Adult_c,time_trend_c,seasonal_trend,Year
15/7/2013,0,0,0,0,0,0,0,1,-0.505827731,-0.632925473,-21.74016162,7,2013
18/7/2013,1,1,0,0,0,0,0,1,0.494172269,0.367074527,-21.74016162,7,2013
18/7/2013,0,1,0,0,0,0,0,1,-0.505827731,0.367074527,-21.74016162,7,2013
18/7/2013,1,1,0,0,0,0,0,1,0.494172269,0.367074527,-21.74016162,7,2013
18/7/2013,0,1,0,0,0,0,0,1,-0.505827731,0.367074527,-21.74016162,7,2013
18/7/2013,1,0,0,0,0,0,0,1,0.494172269,-0.632925473,-21.74016162,7,2013
18/7/2013,1,0,0,0,0,0,0,1,0.494172269,-0.632925473,-21.74016162,7,2013
18/7/2013,0,1,0,0,0,0,0,1,-0.505827731,0.367074527,-21.74016162,7,2013
18/7/2013,1,1,0,0,0,0,0,1,0.494172269,0.367074527,-21.74016162,7,2013
18/7/2013,1,1,0,0,0,0,0,1,0.494172269,0.367074527,-21.74016162,7,2013
21/7/2013,0,1,0,0,0,0,0,1,-0.505827731,0.367074527,-21.74016162,7,2013
21/7/2013,0,1,0,0,0,0,0,1,-0.505827731,0.367074527,-21.74016162,7,2013
21/7/2013,0,1,0,0,0,0,0,1,-0.505827731,0.367074527,-21.74016162,7,2013
21/7/2013,1,1,0,0,0,0,0,1,0.494172269,0.367074527,-21.74016162,7,2013
21/7/2013,0,1,0,0,0,0,0,1,-0.505827731,0.367074527,-21.74016162,7,2013
21/7/2013,1,1,0,0,0,0,0,1,0.494172269,0.367074527,-21.74016162,7,2013
21/7/2013,1,1,0,0,0,0,0,1,0.494172269,0.367074527,-21.74016162,7,2013
21/7/2013,1,0,0,0,0,0,0,1,0.494172269,-0.632925473,-21.74016162,7,2013
21/7/2013,1,1,0,0,0,0,0,1,0.494172269,0.367074527,-21.74016162,7,2013
21/7/2013,0,1,0,0,0,0,0,1,-0.505827731,0.367074527,-21.74016162,7,2013
21/7/2013,1,1,0,0,0,0,0,1,0.494172269,0.367074527,-21.74016162,7,2013
21/7/2013,0,1,0,0,0,0,0,1,-0.505827731,0.367074527,-21.74016162,7,2013
21/7/2013,0,1,0,0,0,0,0,1,-0.505827731,0.367074527,-21.74016162,7,2013
22/7/2013,1,1,0,0,0,0,0,1,0.494172269,0.367074527,-21.74016162,7,2013
22/7/2013,0,1,0,0,0,0,0,1,-0.505827731,0.367074527,-21.74016162,7,2013
22/7/2013,0,0,0,0,0,0,0,1,-0.505827731,-0.632925473,-21.74016162,7,2013
22/7/2013,1,1,0,0,0,0,0,1,0.494172269,0.367074527,-21.74016162,7,2013
22/7/2013,1,1,0,0,0,0,0,1,0.494172269,0.367074527,-21.74016162,7,2013
22/7/2013,1,1,0,0,0,0,0,1,0.494172269,0.367074527,-21.74016162,7,2013
22/7/2013,0,1,0,1,0,0,0,1,-0.505827731,0.367074527,-21.74016162,7,2013
22/7/2013,1,0,0,0,0,0,0,1,0.494172269,-0.632925473,-21.74016162,7,2013
22/7/2013,1,0,0,0,0,0,0,1,0.494172269,-0.632925473,-21.74016162,7,2013
23/7/2013,1,0,0,0,0,0,0,1,0.494172269,-0.632925473,-21.74016162,7,2013
23/7/2013,1,1,0,0,0,0,0,1,0.494172269,0.367074527,-21.74016162,7,2013
23/7/2013,0,1,0,0,0,0,0,1,-0.505827731,0.367074527,-21.74016162,7,2013
23/7/2013,1,0,0,0,0,0,0,1,0.494172269,-0.632925473,-21.74016162,7,2013
23/7/2013,0,1,0,0,0,0,0,1,-0.505827731,0.367074527,-21.74016162,7,2013
23/7/2013,1,0,0,0,0,0,0,1,0.494172269,-0.632925473,-21.74016162,7,2013
23/7/2013,0,1,0,0,0,0,0,1,-0.505827731,0.367074527,-21.74016162,7,2013
23/7/2013,0,1,0,0,0,0,0,1,-0.505827731,0.367074527,-21.74016162,7,2013
23/7/2013,1,1,0,0,0,0,1,1,0.494172269,0.367074527,-21.74016162,7,2013
23/7/2013,0,1,0,0,0,0,0,1,-0.505827731,0.367074527,-21.74016162,7,2013
