date_in,Female,Adult,distemper,mange,rabies,venereal_cancer,Pregnant,time_trend,Female_c,Adult_c,time_trend_c,seasonal_trend,Year
10/8/2013,1,1,0,0,0,0,0,2,0,0.386174586,-20.81537432,8,2013
10/8/2013,1,1,0,0,0,0,0,2,0,0.386174586,-20.81537432,8,2013
11/8/2013,1,1,0,0,0,0,1,2,0,0.386174586,-20.81537432,8,2013
11/8/2013,1,0,0,0,0,0,0,2,0,-0.613825414,-20.81537432,8,2013
11/8/2013,1,1,0,0,0,0,0,2,0,0.386174586,-20.81537432,8,2013
13/8/2013,1,1,0,0,0,0,0,2,0,0.386174586,-20.81537432,8,2013
18/8/2013,1,1,0,0,0,0,1,2,0,0.386174586,-20.81537432,8,2013
18/8/2013,1,1,0,0,0,0,1,2,0,0.386174586,-20.81537432,8,2013
18/8/2013,1,0,0,0,0,0,0,2,0,-0.613825414,-20.81537432,8,2013
18/8/2013,1,1,0,0,0,1,0,2,0,0.386174586,-20.81537432,8,2013
18/8/2013,1,1,0,0,0,0,0,2,0,0.386174586,-20.81537432,8,2013
18/8/2013,1,0,0,0,0,0,0,2,0,-0.613825414,-20.81537432,8,2013
18/8/2013,1,1,0,0,0,0,0,2,0,0.386174586,-20.81537432,8,2013
22/8/2013,1,1,0,0,0,0,0,2,0,0.386174586,-20.81537432,8,2013
22/8/2013,1,1,0,0,0,0,0,2,0,0.386174586,-20.81537432,8,2013
22/8/2013,1,1,0,0,0,0,0,2,0,0.386174586,-20.81537432,8,2013
29/8/2013,1,1,0,0,0,0,1,2,0,0.386174586,-20.81537432,8,2013
3/9/2013,1,1,0,0,0,0,0,3,0,0.386174586,-19.81537432,9,2013
3/9/2013,1,0,0,0,0,0,0,3,0,-0.613825414,-19.81537432,9,2013
3/9/2013,1,1,0,0,0,0,0,3,0,0.386174586,-19.81537432,9,2013
4/9/2013,1,0,0,0,0,0,0,3,0,-0.613825414,-19.81537432,9,2013
4/9/2013,1,1,0,0,0,0,0,3,0,0.386174586,-19.81537432,9,2013
4/9/2013,1,1,0,0,0,0,1,3,0,0.386174586,-19.81537432,9,2013
5/9/2013,1,1,0,0,0,0,1,3,0,0.386174586,-19.81537432,9,2013
5/9/2013,1,0,0,0,0,0,0,3,0,-0.613825414,-19.81537432,9,2013
6/9/2013,1,1,0,0,0,0,0,3,0,0.386174586,-19.81537432,9,2013
7/9/2013,1,1,0,0,0,0,0,3,0,0.386174586,-19.81537432,9,2013
8/9/2013,1,1,0,0,0,0,0,3,0,0.386174586,-19.81537432,9,2013
8/9/2013,1,1,0,0,0,0,0,3,0,0.386174586,-19.81537432,9,2013
8/9/2013,1,1,0,0,0,0,0,3,0,0.386174586,-19.81537432,9,2013
11/9/2013,1,1,0,0,0,0,0,3,0,0.386174586,-19.81537432,9,2013
11/9/2013,1,1,0,0,0,0,0,3,0,0.386174586,-19.81537432,9,2013
11/9/2013,1,0,0,0,0,0,0,3,0,-0.613825414,-19.81537432,9,2013
11/9/2013,1,1,0,0,0,0,0,3,0,0.386174586,-19.81537432,9,2013
12/9/2013,1,1,0,0,0,0,0,3,0,0.386174586,-19.81537432,9,2013
12/9/2013,1,1,0,0,0,1,0,3,0,0.386174586,-19.81537432,9,2013
14/9/2013,1,1,0,0,0,0,0,3,0,0.386174586,-19.81537432,9,2013
20/9/2013,1,1,0,1,0,1,0,3,0,0.386174586,-19.81537432,9,2013
20/9/2013,1,1,0,0,0,0,0,3,0,0.386174586,-19.81537432,9,2013
20/9/2013,1,1,0,1,0,1,0,3,0,0.386174586,-19.81537432,9,2013
20/9/2013,1,0,0,0,0,0,0,3,0,-0.613825414,-19.81537432,9,2013
20/9/2013,1,0,0,0,0,0,0,3,0,-0.613825414,-19.81537432,9,2013
20/9/2013,1,1,0,0,0,0,0,3,0,0.386174586,-19.81537432,9,2013
20/9/2013,1,1,0,0,0,0,0,3,0,0.386174586,-19.81537432,9,2013
20/9/2013,1,1,0,0,0,0,1,3,0,0.386174586,-19.81537432,9,2013
20/9/2013,1,1,0,0,0,0,0,3,0,0.386174586,-19.81537432,9,2013
21/9/2013,1,1,0,0,0,0,0,3,0,0.386174586,-19.81537432,9,2013
21/9/2013,1,1,0,0,0,0,0,3,0,0.386174586,-19.81537432,9,2013
21/9/2013,1,1,0,0,0,0,1,3,0,0.386174586,-19.81537432,9,2013
21/9/2013,1,1,0,0,0,0,0,3,0,0.386174586,-19.81537432,9,2013
21/9/2013,1,1,0,0,0,0,1,3,0,0.386174586,-19.81537432,9,2013
21/9/2013,1,1,0,0,0,0,0,3,0,0.386174586,-19.81537432,9,2013
23/9/2013,1,1,0,0,0,0,0,3,0,0.386174586,-19.81537432,9,2013
23/9/2013,1,1,0,0,0,0,1,3,0,0.386174586,-19.81537432,9,2013
23/9/2013,1,1,0,0,0,0,0,3,0,0.386174586,-19.81537432,9,2013
23/9/2013,1,1,0,0,0,0,1,3,0,0.386174586,-19.81537432,9,2013
23/9/2013,1,0,0,1,0,0,0,3,0,-0.613825414,-19.81537432,9,2013
25/9/2013,1,1,0,0,0,0,0,3,0,0.386174586,-19.81537432,9,2013
25/9/2013,1,1,0,0,0,0,0,3,0,0.386174586,-19.81537432,9,2013
25/9/2013,1,0,0,0,0,0,0,3,0,-0.613825414,-19.81537432,9,2013
25/9/2013,1,1,0,0,0,0,1,3,0,0.386174586,-19.81537432,9,2013
26/9/2013,1,1,0,0,0,0,0,3,0,0.386174586,-19.81537432,9,2013
26/9/2013,1,1,0,0,0,0,0,3,0,0.386174586,-19.81537432,9,2013
26/9/2013,1,1,0,0,0,0,1,3,0,0.386174586,-19.81537432,9,2013
26/9/2013,1,1,0,0,0,1,0,3,0,0.386174586,-19.81537432,9,2013
